Time (s),Induced Drag in Wind Axes (N),Crosswind Force in Wind Axes (N),Lift in Wind Axes (N),Induced Drag Coefficient in Wind Axes,Crosswind Force Coefficient in Wind Axes,Lift Coefficient in Wind Axes,Rolling Moment in Wind Axes Relative to the CG (N*m),Pitching Moment in Wind Axes Relative to the CG (N*m),Yawing Moment in Wind Axes Relative to the CG (N*m),Rolling Moment Coefficient in Wind Axes Relative to the CG,Pitching Moment Coefficient in Wind Axes Relative to the CG,Yawing Moment Coefficient in Wind Axes Relative to the CG
1.40828,6.246196151131734,-3.7582949077140564e-14,414.15030597728673,0.006063719333348153,-3.648499813474559e-17,0.402051289537475,3.2968351420709047e-12,2.761745465595535,3.7904583690271123e-13,3.2005211661844484e-16,0.0026810636375042434,3.679723649145495e-17
1.4212,6.24295063092066,-2.413850887001999e-13,414.19129266726827,0.006058312099708874,-2.342459984095789e-16,0.40194136848237727,-5.106910619899893e-12,2.7181110502655614,-3.747855726684455e-13,-4.955871066388457e-16,0.002637721493842377,-3.637010932695327e-17
1.4341199999999998,6.2397662669539535,1.633219413782787e-13,414.23203583038514,0.006052951733032423,1.5843218893365113e-16,0.4018301987425359,3.4680421837269427e-12,2.677466203608174,2.4426850654450475e-13,3.364211261789312e-16,0.0025973046110871964,2.369552667131518e-17
1.4470399999999999,6.236638478579113,-6.375647704227939e-13,414.2725286316063,0.006047633908297627,-6.182430387119911e-16,0.40171778435351885,1.887016416618972e-12,2.639706304760827,-3.948941123744417e-12,1.8298294034287453e-16,0.0025597086333366673,-3.8292664107201267e-16
1.45996,6.233564598581413,8.817717724613536e-13,414.3128001504769,0.006042356159275546,8.5472429396491325e-16,0.4016041640806358,2.825633011891523e-12,2.604685296623614,4.806036913445009e-12,2.7389595091611804e-16,0.0025247891469047726,4.6586164764007955e-16
1.47288,6.230542202695993,-7.539259081747453e-13,414.35288131858505,0.0060371162566093765,-7.305204279896002e-16,0.40148937835602055,-2.5280535412522847e-12,2.572247309935748,-3.991347929691298e-12,-2.4495706208151587e-16,0.0024923924027211272,-3.867437325389904e-16
1.4858,6.227569081201796,-7.575555957446263e-13,414.3928006133481,0.006031912180056951,-7.337548191694226e-16,0.4013734651122002,4.461530731833109e-13,2.5422459238200195,-3.783650489106297e-12,4.321358978461808e-17,0.0024623739941927463,-3.664776283126256e-16
1.4987199999999998,6.224643150407122,1.2352610129187878e-13,414.4325858285684,0.006026742032567921,1.1959881535157837e-16,0.4012564615074336,-2.2689288325711383e-12,2.51454313360604,4.67841850155717e-13,-2.1967923997807622e-16,0.002434597844378823,4.529676761861263e-17
1.5116399999999999,6.2217624138052265,-3.8900476704289974e-13,414.472263293177,0.006021604002608194,-3.764902139402914e-16,0.4011384031763195,6.856383042183662e-12,2.4890054978062093,-3.104097683566524e-12,6.635808445307915e-16,0.00240893246499542,-3.0042367086176155e-16
1.52456,6.21892498007503,1.8592539234510685e-13,414.51185631103766,0.006016496381556261,1.798734433793198e-16,0.40101932272825686,7.1149928728047905e-12,2.4655145104422655,1.3817874324111742e-12,6.883396891131519e-16,0.002385260986147382,1.336809675919494e-16
1.53748,6.216128982229954,3.14737577263266e-13,414.55138344709474,0.006011417485422131,3.043725412855027e-16,0.4008992480985833,-1.924434254879074e-11,2.4439625849646682,2.350588530323038e-12,-1.8610581862758104e-15,0.0023634772474916766,2.2731782163161517e-16
1.5504,6.213372640604195,5.73449276003105e-13,414.59086569836006,0.0060063657158260595,5.543440367058675e-16,0.4007782094947918,-8.110306981617868e-12,2.424238970044872,3.5842715411073804e-12,-7.840101120102358e-16,0.002343472165421434,3.464856680256177e-16
