Elapsed Time (s),Displacement (mm)
0.239411752,57.62986123
0.239999987,57.62986123
0.240588223,57.62986123
0.241176458,58.28269657
0.241764693,58.28269657
0.242352928,58.28269657
0.242941164,58.28269657
0.243529399,58.69137415
0.244117635,58.69137415
0.24470587,58.69137415
0.245294105,58.69137415
0.24588234,59.34390014
0.246470576,59.34390014
0.247058811,59.34390014
0.247647045,59.34390014
0.248235281,59.34390014
0.248823516,59.75290263
0.249411752,59.75290263
0.249999987,59.99691472
0.250588222,60.4052466
0.251176457,60.4052466
0.251764693,60.4052466
0.252352928,60.4052466
0.252941164,60.4052466
0.253529399,61.05800672
0.254117634,61.05800672
0.254705869,61.05800672
0.255294104,61.05800672
0.25588234,61.46666116
0.256470575,61.46666116
0.25705881,61.46666116
0.257647045,61.46666116
0.258235281,62.11929358
0.258823516,62.11929358
0.259411752,62.11929358
0.259999986,62.11929358
0.260588222,62.11929358
0.261176457,62.52825912
0.261764692,62.77230812
0.262352927,62.77230812
0.262941162,62.77230812
0.263529398,63.18054701
0.264117633,63.18054701
0.264705869,63.18054701
0.265294104,63.18054701
0.265882339,63.83340263
0.266470574,63.83340263
0.26705881,63.83340263
0.267647045,63.83340263
0.26823528,63.83340263
0.268823516,64.24203612
0.26941175,64.24203612
0.269999986,64.24203612
0.270588221,64.48667587
0.271176457,64.89460142
0.271764692,64.89460142
0.272352927,64.89460142
0.272941162,64.89460142
0.273529398,64.89460142
0.274117633,65.54766761
0.274705868,65.54766761
0.275294103,65.54766761
0.275882338,65.54766761
0.276470574,65.54766761
0.277058809,65.95598536
0.277647044,66.20108469
0.278235279,66.20108469
0.278823515,66.60879853
0.27941175,66.60879853
0.279999986,66.60879853
0.280588221,66.60879853
0.281176456,66.60879853
0.281764691,67.26197754
0.282352927,67.26197754
0.282941162,67.26197754
0.283529397,67.26197754
0.284117632,67.66999526
0.284705867,67.66999526
0.285294103,67.66999526
0.285882338,67.66999526
0.286470574,68.32306141
0.287058808,68.32306141
0.287647044,68.32306141
0.288235279,68.32306141
0.288823515,68.32306141
0.28941175,68.73128731
0.289999985,68.73128731
0.29058822,68.97637669
0.291176455,68.97637669
0.291764691,69.38410868
0.292352926,69.38410868
0.292941161,69.38410868
0.293529396,69.38410868
0.294117632,70.03736551
0.294705867,70.03736551
0.295294103,70.03736551
0.295882337,70.03736551
0.296470573,70.03736551
0.297058808,70.44538927
0.297647043,70.44538927
0.298235279,70.44538927
0.298823514,70.44538927
0.299411749,71.09836968
0.299999984,71.09836968
0.30058822,71.09836968
0.301176455,71.09836968
0.30176469,71.09836968
0.302352925,71.50667577
0.302941161,71.50667577
0.303529396,71.7518074
0.304117631,72.15955604
0.304705866,72.15955604
0.305294101,72.15955604
0.305882337,72.15955604
0.306470572,72.15955604
0.307058808,72.81266846
0.307647043,72.81266846
0.308235278,72.81266846
0.308823513,72.81266846
0.309411749,72.81266846
0.309999984,73.22069761
0.31058822,73.46627766
0.311176454,73.46627766
0.311764689,73.46627766
0.312352925,73.87376378
0.31294116,73.87376378
0.313529396,73.87376378
0.314117631,73.87376378
0.314705866,73.87376378
0.315294101,74.52718763
0.315882337,74.52718763
0.316470572,74.52718763
0.317058807,74.52718763
0.317647042,74.93486619
0.318235278,74.93486619
0.318823513,74.93486619
0.319411748,74.93486619
0.319999983,75.58805757
0.320588218,75.58805757
0.321176454,75.58805757
0.321764689,75.58805757
0.322352925,75.58805757
0.322941159,75.99609188
0.323529395,76.241647
0.32411763,76.241647
0.324705866,76.241647
0.325294101,76.64907232
0.325882336,76.64907232
0.326470571,76.64907232
0.327058806,76.64907232
0.327647042,77.30248339
0.328235277,77.30248339
0.328823513,77.30248339
0.329411747,77.30248339
0.329999983,77.30248339
0.330588218,77.30248339
0.331176454,77.95623063
0.331764688,77.95623063
0.332352924,77.95623063
0.332941159,78.36349878
0.333529394,78.36349878
0.33411763,78.36349878
0.334705864,78.36349878
0.3352941,78.36349878
0.335882335,79.01693267
0.336470571,79.01693267
0.337058806,79.01693267
0.337647042,79.01693267
0.338235276,79.42446667
0.338823512,79.42446667
0.339411747,79.42446667
0.339999982,79.42446667
0.340588218,80.07786574
0.341176453,80.07786574
0.341764688,80.07786574
0.342352923,80.07786574
0.342941159,80.07786574
0.343529394,80.07786574
0.344117629,80.73150413
0.344705864,80.73150413
0.3452941,80.73150413
0.345882335,80.73150413
0.346470571,81.13880316
0.347058805,81.13880316
0.34764704,81.13880316
0.348235276,81.13880316
0.348823511,81.79230555
0.349411747,81.79230555
0.349999981,81.79230555
0.350588217,81.79230555
0.351176452,81.79230555
0.351764688,82.19986112
0.352352923,82.19986112
0.352941159,82.44617515
0.353529393,82.85316341
0.354117629,82.85316341
0.354705864,82.85316341
0.355294099,82.85316341
0.355882335,82.85316341
0.356470569,83.50686557
0.357058805,83.50686557
0.35764704,83.50686557
0.358235276,83.50686557
0.35882351,83.50686557
0.359411746,83.91419356
0.359999981,83.91419356
0.360588217,83.91419356
0.361176452,84.1608746
0.361764687,84.56764617
0.362352922,84.56764617
0.362941157,84.56764617
0.363529393,84.56764617
0.364117628,84.56764617
0.364705864,85.22143804
0.365294098,85.22143804
0.365882334,85.22143804
0.366470569,85.22143804
0.367058805,85.22143804
0.36764704,85.62854748
0.368235275,85.62854748
0.36882351,85.62854748
0.369411745,85.87558026
0.369999981,86.28222923
0.370588216,86.28222923
0.371176451,86.28222923
0.371764686,86.28222923
0.372352922,86.28222923
0.372941157,86.93612294
0.373529393,86.93612294
